train_accuracy_step,step,epoch,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.90234375,49,0,,,,,,
0.91796875,99,0,,,,,,
0.890625,149,0,,,,,,
,187,0,0.3216346502304077,0.909333348274231,,,,
,187,0,,,0.41811898350715637,0.8852916955947876,,
0.8984375,199,1,,,,,,
0.94140625,249,1,,,,,,
0.9296875,299,1,,,,,,
0.92578125,349,1,,,,,,
,375,1,0.3237866163253784,0.9100000262260437,,,,
,375,1,,,0.3033720850944519,0.9134166836738586,,
0.91015625,399,2,,,,,,
0.92578125,449,2,,,,,,
0.9375,499,2,,,,,,
0.91015625,549,2,,,,,,
,563,2,0.32264605164527893,0.9086666703224182,,,,
,563,2,,,0.2895489037036896,0.9188125133514404,,
0.9296875,599,3,,,,,,
0.8984375,649,3,,,,,,
0.93359375,699,3,,,,,,
0.9140625,749,3,,,,,,
,751,3,0.3507345914840698,0.9000833630561829,,,,
,751,3,,,0.2805911600589752,0.9210208058357239,,
0.91015625,799,4,,,,,,
0.9296875,849,4,,,,,,
0.92578125,899,4,,,,,,
,939,4,0.34928274154663086,0.9009166955947876,,,,
,939,4,,,0.276633620262146,0.9212499856948853,,
0.93359375,949,5,,,,,,
0.9765625,999,5,,,,,,
0.91796875,1049,5,,,,,,
0.94140625,1099,5,,,,,,
,1127,5,0.2960636019706726,0.9210000038146973,,,,
,1127,5,,,0.2732759118080139,0.9239374995231628,,
0.92578125,1149,6,,,,,,
0.90625,1199,6,,,,,,
0.90234375,1249,6,,,,,,
0.92578125,1299,6,,,,,,
,1315,6,0.3188353180885315,0.9114166498184204,,,,
,1315,6,,,0.2669358253479004,0.9255416393280029,,
0.93359375,1349,7,,,,,,
0.94140625,1399,7,,,,,,
0.9375,1449,7,,,,,,
0.8828125,1499,7,,,,,,
,1503,7,0.3150016963481903,0.9156666398048401,,,,
,1503,7,,,0.26745903491973877,0.9245416522026062,,
0.921875,1549,8,,,,,,
0.91015625,1599,8,,,,,,
0.921875,1649,8,,,,,,
,1691,8,0.30216339230537415,0.9169999957084656,,,,
,1691,8,,,0.2644623816013336,0.9254375100135803,,
0.91015625,1699,9,,,,,,
0.9453125,1749,9,,,,,,
0.88671875,1799,9,,,,,,
0.91796875,1849,9,,,,,,
,1879,9,0.3372083604335785,0.9099166393280029,,,,
,1879,9,,,0.26204627752304077,0.9261041879653931,,
0.90234375,1899,10,,,,,,
0.91796875,1949,10,,,,,,
0.9296875,1999,10,,,,,,
0.88671875,2049,10,,,,,,
,2067,10,0.3196210265159607,0.9149166941642761,,,,
,2067,10,,,0.26072314381599426,0.9275208115577698,,
0.95703125,2099,11,,,,,,
0.921875,2149,11,,,,,,
0.9296875,2199,11,,,,,,
0.95703125,2249,11,,,,,,
,2255,11,0.3200618028640747,0.9131666421890259,,,,
,2255,11,,,0.2596380412578583,0.9254791736602783,,
0.953125,2299,12,,,,,,
0.9375,2349,12,,,,,,
0.87109375,2399,12,,,,,,
,2443,12,0.37434858083724976,0.8959166407585144,,,,
,2443,12,,,0.25726035237312317,0.9279375076293945,,
0.92578125,2449,13,,,,,,
0.94140625,2499,13,,,,,,
0.92578125,2549,13,,,,,,
0.89453125,2599,13,,,,,,
,2631,13,0.39673173427581787,0.8931666612625122,,,,
,2631,13,,,0.25559109449386597,0.9280833601951599,,
0.9453125,2649,14,,,,,,
0.921875,2699,14,,,,,,
0.94140625,2749,14,,,,,,
0.92578125,2799,14,,,,,,
,2819,14,0.3093990981578827,0.9175833463668823,,,,
,2819,14,,,0.2555949091911316,0.9284583330154419,,
0.9375,2849,15,,,,,,
0.93359375,2899,15,,,,,,
0.91796875,2949,15,,,,,,
0.93359375,2999,15,,,,,,
