train_accuracy_step,step,epoch,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.96484375,49,0,,,,,,
0.9296875,99,0,,,,,,
0.9375,149,0,,,,,,
,187,0,0.3714025020599365,0.8985000252723694,,,,
,187,0,,,0.2449350357055664,0.9314374923706055,,
0.9375,199,1,,,,,,
0.9375,249,1,,,,,,
0.94921875,299,1,,,,,,
0.953125,349,1,,,,,,
,375,1,0.34535595774650574,0.9117500185966492,,,,
,375,1,,,0.2426770180463791,0.9311458468437195,,
0.9140625,399,2,,,,,,
0.953125,449,2,,,,,,
0.9296875,499,2,,,,,,
0.9375,549,2,,,,,,
,563,2,0.352620393037796,0.9124166369438171,,,,
,563,2,,,0.24296604096889496,0.9303333163261414,,
0.9296875,599,3,,,,,,
0.93359375,649,3,,,,,,
0.9453125,699,3,,,,,,
0.9453125,749,3,,,,,,
,751,3,0.3358340859413147,0.9111666679382324,,,,
,751,3,,,0.24284934997558594,0.9303958415985107,,
0.90234375,799,4,,,,,,
0.94921875,849,4,,,,,,
0.9140625,899,4,,,,,,
,939,4,0.3496394157409668,0.9100833535194397,,,,
,939,4,,,0.24138379096984863,0.9317083358764648,,
0.92578125,949,5,,,,,,
0.9296875,999,5,,,,,,
0.94140625,1049,5,,,,,,
0.9140625,1099,5,,,,,,
,1127,5,0.3661344051361084,0.9028333425521851,,,,
,1127,5,,,0.24449314177036285,0.9311875104904175,,
0.91796875,1149,6,,,,,,
0.93359375,1199,6,,,,,,
0.9140625,1249,6,,,,,,
0.9140625,1299,6,,,,,,
,1315,6,0.35817334055900574,0.9101666808128357,,,,
,1315,6,,,0.2417173534631729,0.9319375157356262,,
0.94921875,1349,7,,,,,,
0.921875,1399,7,,,,,,
0.9296875,1449,7,,,,,,
0.92578125,1499,7,,,,,,
,1503,7,0.334420382976532,0.9139166474342346,,,,
,1503,7,,,0.24198251962661743,0.9314166903495789,,
0.92578125,1549,8,,,,,,
0.9453125,1599,8,,,,,,
0.92578125,1649,8,,,,,,
,1691,8,0.3381134569644928,0.9141666889190674,,,,
,1691,8,,,0.24119725823402405,0.9323958158493042,,
0.9375,1699,9,,,,,,
0.9375,1749,9,,,,,,
0.953125,1799,9,,,,,,
0.92578125,1849,9,,,,,,
,1879,9,0.3457220494747162,0.9133333563804626,,,,
,1879,9,,,0.24026989936828613,0.9321249723434448,,
0.93359375,1899,10,,,,,,
0.9453125,1949,10,,,,,,
0.94140625,1999,10,,,,,,
0.953125,2049,10,,,,,,
,2067,10,0.3499545454978943,0.9097499847412109,,,,
,2067,10,,,0.24035365879535675,0.9316874742507935,,
0.9375,2099,11,,,,,,
0.95703125,2149,11,,,,,,
0.94140625,2199,11,,,,,,
0.890625,2249,11,,,,,,
,2255,11,0.3746088147163391,0.9045833349227905,,,,
,2255,11,,,0.24239999055862427,0.9305416941642761,,
0.94140625,2299,12,,,,,,
0.9375,2349,12,,,,,,
0.953125,2399,12,,,,,,
,2443,12,0.3623001277446747,0.9067500233650208,,,,
,2443,12,,,0.24003483355045319,0.9312708377838135,,
0.94140625,2449,13,,,,,,
0.94921875,2499,13,,,,,,
0.9296875,2549,13,,,,,,
0.93359375,2599,13,,,,,,
,2631,13,0.34236612915992737,0.9121666550636292,,,,
,2631,13,,,0.2394895851612091,0.9325416684150696,,
0.9375,2649,14,,,,,,
0.9375,2699,14,,,,,,
0.8984375,2749,14,,,,,,
0.953125,2799,14,,,,,,
,2819,14,0.4665391147136688,0.8787500262260437,,,,
,2819,14,,,0.24210704863071442,0.9322083592414856,,
0.91015625,2849,15,,,,,,
0.90234375,2899,15,,,,,,
0.9140625,2949,15,,,,,,
0.9453125,2999,15,,,,,,
,3007,15,0.34874144196510315,0.9148333072662354,,,,
,3007,15,,,0.2385072261095047,0.9323958158493042,,
0.91015625,3049,16,,,,,,
0.91796875,3099,16,,,,,,
0.9375,3149,16,,,,,,
,3195,16,0.3832700550556183,0.8986666798591614,,,,
,3195,16,,,0.24075686931610107,0.9316041469573975,,
0.94140625,3199,17,,,,,,
0.921875,3249,17,,,,,,
0.921875,3299,17,,,,,,
0.9609375,3349,17,,,,,,
,3383,17,0.35817912220954895,0.9076666831970215,,,,
,3383,17,,,0.2392275333404541,0.9325624704360962,,
0.9296875,3399,18,,,,,,
