step,epoch,train_mae_step,valid_loss,valid_mae,train_mae_epoch,train_loss,test_loss,test_mae
4,0,331.0351257324219,,,,,,
5,0,,143938.828125,237.72183227539062,,,,
5,0,,,,552.1649780273438,811154.375,,
9,1,228.9199676513672,,,,,,
11,1,,140019.484375,239.36822509765625,,,,
11,1,,,,271.5081787109375,180166.921875,,
14,2,247.52587890625,,,,,,
17,2,,125581.984375,236.33456420898438,,,,
17,2,,,,247.94029235839844,147270.09375,,
19,3,269.5188293457031,,,,,,
23,3,,124663.1875,241.30599975585938,,,,
23,3,,,,250.19064331054688,150973.140625,,
24,4,228.82083129882812,,,,,,
29,4,216.68389892578125,,,,,,
29,4,,127744.1484375,239.71743774414062,,,,
29,4,,,,262.7165222167969,162847.0,,
34,5,193.09359741210938,,,,,,
35,5,,131885.125,242.02743530273438,,,,
35,5,,,,239.59727478027344,125536.421875,,
39,6,274.3039855957031,,,,,,
41,6,,121988.1640625,242.68231201171875,,,,
41,6,,,,257.3943176269531,174305.78125,,
44,7,293.1025695800781,,,,,,
47,7,,122008.4375,241.50399780273438,,,,
47,7,,,,252.6171875,154145.53125,,
49,8,359.3524169921875,,,,,,
53,8,,136066.140625,248.74253845214844,,,,
53,8,,,,248.72035217285156,141693.078125,,
54,9,176.84109497070312,,,,,,
59,9,170.34786987304688,,,,,,
59,9,,145218.125,259.16412353515625,,,,
59,9,,,,252.6477508544922,151237.21875,,
64,10,263.4548034667969,,,,,,
65,10,,132310.484375,249.16351318359375,,,,
65,10,,,,241.7218475341797,135852.609375,,
69,11,233.49658203125,,,,,,
71,11,,121232.0234375,249.10789489746094,,,,
71,11,,,,247.8193359375,153923.25,,
74,12,340.8158264160156,,,,,,
77,12,,121647.546875,253.79141235351562,,,,
77,12,,,,260.73382568359375,133587.640625,,
79,13,309.4186096191406,,,,,,
83,13,,130741.1875,249.67616271972656,,,,
83,13,,,,263.9648132324219,164025.96875,,
84,14,261.74774169921875,,,,,,
89,14,339.8547668457031,,,,,,
89,14,,119447.1640625,246.55027770996094,,,,
89,14,,,,269.06005859375,168542.484375,,
94,15,208.91180419921875,,,,,,
95,15,,119972.4609375,245.54434204101562,,,,
95,15,,,,262.58905029296875,159121.15625,,
99,16,241.98593139648438,,,,,,
101,16,,140225.765625,253.07501220703125,,,,
101,16,,,,260.5664367675781,150940.21875,,
104,17,204.56137084960938,,,,,,
107,17,,127695.9375,244.79998779296875,,,,
107,17,,,,242.6068115234375,127965.09375,,
109,18,272.6788024902344,,,,,,
113,18,,128097.484375,246.72608947753906,,,,
113,18,,,,244.95298767089844,143616.109375,,
114,19,242.307861328125,,,,,,
119,19,180.93756103515625,,,,,,
119,19,,120419.4140625,245.75115966796875,,,,
119,19,,,,250.10128784179688,128628.34375,,
124,20,198.34506225585938,,,,,,
125,20,,145854.0,286.531005859375,,,,
125,20,,,,238.07174682617188,123216.046875,,
129,21,287.4796142578125,,,,,,
131,21,,117546.234375,239.97254943847656,,,,
131,21,,,,253.7958526611328,142330.015625,,
134,22,209.37789916992188,,,,,,
137,22,,116753.140625,245.82374572753906,,,,
137,22,,,,239.7399139404297,123292.21875,,
139,23,225.07899475097656,,,,,,
143,23,,116822.59375,246.98809814453125,,,,
143,23,,,,226.8408203125,114748.546875,,
144,24,269.28155517578125,,,,,,
149,24,260.2001647949219,,,,,,
149,24,,115110.640625,245.8070831298828,,,,
149,24,,,,249.15560913085938,129941.4140625,,
154,25,217.48529052734375,,,,,,
155,25,,115779.171875,243.5504913330078,,,,
155,25,,,,237.96267700195312,126771.40625,,
159,26,251.13699340820312,,,,,,
161,26,,119583.734375,243.95001220703125,,,,
161,26,,,,234.35325622558594,117770.6171875,,
164,27,184.82469177246094,,,,,,
167,27,,130161.4140625,271.4240417480469,,,,
